2025-03-27 21:57:19,153 - File modification detected: C:\Users\rpmit\Desktop\ransomware_defense\testfile.locked
2025-03-27 21:58:01,192 - File modification detected: C:\Users\rpmit\Desktop\ransomware_defense\testfile.encrypted
2025-03-27 22:02:10,138 - File modification detected: C:\Users\rpmit\Desktop\ransomware_defense\file_monitor.py
2025-03-27 22:02:12,182 - File modification detected: C:\Users\rpmit\Desktop\ransomware_defense\file_monitor.py
2025-03-27 22:44:54,927 - File modification detected: C:\Users\rpmit\Desktop\ransomware_defense\file_monitor.py
2025-03-27 22:44:57,017 - File modification detected: C:\Users\rpmit\Desktop\ransomware_defense\file_monitor.py
2025-03-27 22:45:02,104 - File modification detected: C:\Users\rpmit\Desktop\ransomware_defense\ransomware_defense.py
2025-03-27 22:51:50,097 - File modification detected: C:\Users\rpmit\Desktop\ransomware_defense\testfile.encrypted
2025-03-27 22:51:52,101 - File modification detected: C:\Users\rpmit\Desktop\ransomware_defense\testfile.encrypted
2025-03-28 04:13:37,616 - \U0001f6a8 File Modified: C:\Users\rpmit\Desktop\ransomware_defense\testfile.encrypted
2025-03-28 04:13:39,045 - \u26a0\ufe0f Network Isolated!
2025-03-28 04:14:07,392 - \U0001f6a8 File Modified: C:\Users\rpmit\Desktop\ransomware_defense\testfile.txt
2025-03-28 04:14:08,493 - \u26a0\ufe0f Network Isolated!
2025-03-28 04:14:08,978 - \U0001f6a8 File Modified: C:\Users\rpmit\Desktop\ransomware_defense\testfile.txt
2025-03-28 04:14:10,161 - \u26a0\ufe0f Network Isolated!
2025-03-28 04:14:25,176 - \U0001f6a8 File Modified: C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 04:14:26,360 - \u26a0\ufe0f Network Isolated!
2025-03-28 04:14:26,361 - \U0001f6a8 File Modified: C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 04:14:27,482 - \u26a0\ufe0f Network Isolated!
2025-03-28 04:16:19,040 - \U0001f6a8 File Modified: C:\Users\rpmit\Desktop\ransomware_defense\web_app.py
2025-03-28 04:16:20,331 - \u26a0\ufe0f Network Isolated!
2025-03-28 04:16:20,333 - \U0001f6a8 File Modified: C:\Users\rpmit\Desktop\ransomware_defense\web_app.py
2025-03-28 04:16:21,487 - \u26a0\ufe0f Network Isolated!
2025-03-28 04:16:58,024 - \u26a0\ufe0f Network Isolated!
2025-03-28 04:17:04,784 - \U0001f30d Network Restored Successfully.
2025-03-28 04:21:11,486 - \u26a0\ufe0f Network Isolated!
2025-03-28 04:21:11,523 - \U0001f30d Network Restored Successfully.
2025-03-28 04:21:11,523 - \u26a0\ufe0f Network Isolated!
2025-03-28 04:22:44,605 - \u26a0\ufe0f Network Isolated!
2025-03-28 04:22:48,763 - \U0001f30d Network Restored Successfully.
2025-03-28 07:38:15 - 🔁 File Renamed: C:\Users\rpmit\Desktop\ransomware_defense\testfile.locked → C:\Users\rpmit\Desktop\ransomware_defense\testfile.encrypted
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:15 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
2025-03-28 07:38:16 - ⚠️ WARNING: Potential ransomware activity detected! C:\Users\rpmit\Desktop\ransomware_defense\ransomware_log.txt
